Квартал,Дата отчета,Валюта отчета,"Выручка млн $","Операционная прибыль млн $","EBITDA млн $","Чистая прибыль млн $","Операционный денежный поток млн $","CAPEX млн $","FCF млн $","Див.выплата млн $","Див доход ао %","Дивиденды/прибыль %","Опер.расходы млн $","Себестоимость млн $","НИОКР млн $","Процентные расходы млн $","Активы млн $","Чистые активы млн $","Долг млн $","Наличность млн $","Чистый долг млн $","Цена акции ао руб","Число акций ао млн","Капитализация млн $","EV млн $","Баланс стоимость млн $","EPS $","FCF/акцию руб","BV/акцию руб","РентабEBITDA %","Чистаярентаб %","ДоходностьFCF %","ROE %","ROA %",P/E,P/S,P/BV,EV/EBITDA,Долг/EBITDA,"R&D/CAPEX %","CAPEX/Выручка %","d-mpg"
2000Q1,17.05.2000,USD,1092,180.7,308.6,189.3,386.8,129.0,257.7,0.000,0.00%,0.00%,305.6,605.8,161.3,11.5,4638,2198,1474,919.0,555.0,29.5,344.4,10160,10715,2198,0.55,0.75,6.38,28.3%,17.3%,2.54%,8.61%,4.08%,53.7,9.30,4.62,34.7,1.80,125.0%,11.8%,13
2000Q2,16.08.2000,USD,1170,250.2,395.5,207.1,281.1,160.9,120.3,0.000,0.00%,0.00%,307.6,612.6,155.7,11.2,4963,2443,1558,1080,478.0,38.6,352.4,13611,14089,2443,0.59,0.34,6.93,33.8%,17.7%,0.88%,8.48%,4.17%,65.7,11.6,5.57,35.6,1.21,96.8%,13.7%,13
2000Q3,13.11.2000,USD,1207,262.8,720.1,408.7,287.1,287.3,-0.136,0.000,0.00%,0.00%,304.7,639.0,162.8,17.4,5372,2901,1297,1233,64.0,24.0,352.9,8470,8534,2901,1.16,0.00,8.22,59.7%,33.9%,0.00%,14.1%,7.61%,20.7,7.02,2.92,11.9,0.09,56.7%,23.8%,13
2000Q4,27.09.2001,USD,1175,195.0,357.7,178.0,250.5,228.3,22.2,0.000,0.00%,0.00%,322.8,657.3,162.1,0.000,5768,3172,1298,1293,4.38,13.8,352.9,4874,4879,3172,0.50,0.06,8.99,30.4%,15.1%,0.46%,5.61%,3.09%,27.4,4.15,1.54,13.6,0.01,71.0%,19.4%,14
2001Q1,15.05.2001,USD,1189,167.0,308.7,124.8,146.8,162.7,-16.0,0.000,0.00%,0.00%,306.9,714.8,157.8,21.6,6029,3277,1576,1596,-20.0,26.5,351.8,9337,9317,3277,0.35,-0.05,9.31,26.0%,10.5%,-0.17%,3.81%,2.07%,74.8,7.85,2.85,30.2,-0.06,97.0%,13.7%,14
2001Q2,10.08.2001,USD,985.3,21.7,160.3,17.4,-163.9,215.1,-379.0,0.000,0.00%,0.00%,327.4,636.2,171.1,20.2,5831,3800,975.0,1058,-83.0,28.9,340.5,9840,9757,3800,0.05,-1.11,11.2,16.3%,1.77%,-3.85%,0.46%,0.30%,565.5,9.99,2.59,60.9,-0.52,79.5%,21.8%,14
2001Q3,14.11.2001,USD,765.9,-140.3,-91.9,-186.9,73.2,164.1,-90.9,0.000,0.00%,0.00%,312.1,594.1,161.2,0.000,5739,3631,988.5,903.5,85.0,8.15,345.0,2812,2897,3631,-0.54,-0.26,10.5,-12.0%,-24.4%,-3.23%,-5.15%,-3.26%,-15.0,3.67,0.77,-31.5,-0.92,98.2%,21.4%,15
2001Q4,07.03.2002,USD,951.9,-17.3,119.4,-15.8,111.6,137.0,-25.4,0.000,0.00%,0.00%,324.5,644.7,160.9,9.60,5647,3555,736.0,870.0,-134.0,16.4,340.1,5571,5437,3555,-0.05,-0.07,10.5,12.5%,-1.66%,-0.46%,-0.44%,-0.28%,-352.6,5.85,1.57,45.5,-1.12,117.5%,14.4%,15
2002Q1,13.05.2002,USD,902.1,-13.5,160.9,-9.16,210.5,199.1,11.5,0.000,0.00%,0.00%,328.7,586.9,171.9,0.000,5965,3510,1388,1277,111.0,14.7,340.8,5013,5124,3510,-0.03,0.03,10.3,17.8%,-1.02%,0.23%,-0.26%,-0.15%,-547.1,5.56,1.43,31.8,0.69,86.3%,22.1%,15
2002Q2,13.08.2002,USD,600.3,-296.7,-123.3,-184.9,-107.8,172.3,-280.1,0.000,0.00%,0.00%,338.7,558.3,178.4,0.000,5903,3512,1508,1100,408.5,9.72,341.8,3322,3731,3512,-0.54,-0.82,10.3,-20.5%,-30.8%,-8.43%,-5.27%,-3.13%,-18.0,5.53,0.95,-30.3,-3.31,103.5%,28.7%,16
